epoch,val_loss,val_mape
1,0.15354711,17.106335
2,0.13100265,14.852408
3,0.11568068,13.478099
4,0.10666031,12.797777
5,0.10152314,12.475333
6,0.09844013,12.282701
7,0.09618963,12.103496
8,0.09421363,11.914544
9,0.09231899,11.707118
10,0.09042028,11.493949
1,1.18804479,138.491943
2,1.13359201,132.048080
3,1.08067679,125.783669
4,1.02994120,119.775558
5,0.98195034,114.091621
6,0.93708980,108.778366
7,0.89562571,103.868149
8,0.85766000,99.373756
9,0.82315367,95.290962
10,0.79207844,91.615807
1,0.63848627,73.249420
2,0.57450610,65.729553
3,0.51242274,58.432022
4,0.45264047,51.403870
5,0.39527082,44.658501
6,0.33973923,38.126831
7,0.28593904,31.797642
8,0.23523487,25.859955
9,0.19141935,20.849997
10,0.15855600,17.306953
1,0.51045501,58.649494
2,0.46815130,53.652462
3,0.42579475,48.644997
4,0.38381961,43.678322
5,0.34262729,38.800533
6,0.30256724,34.053768
7,0.26390922,29.470535
8,0.22704050,25.103058
9,0.19365987,21.197067
10,0.16611592,18.084335
1,1.14235234,132.458054
2,1.09255922,126.557022
3,1.04245329,120.631905
4,0.99251497,114.740746
5,0.94320798,108.936722
1,0.64970917,74.674774
2,0.60650140,69.566727
3,0.56422043,64.563530
4,0.52109915,59.455406
5,0.47694039,54.224461
6,0.43169078,48.865608
7,0.38527200,43.367855
8,0.33712107,37.663090
9,0.28748995,31.786617
10,0.23823510,25.993954
1,0.48415485,55.279545
2,0.42748481,48.577435
3,0.37456405,42.320335
4,0.32553756,36.524960
5,0.28047076,31.198856
6,0.23953259,26.367096
7,0.20462565,22.311449
8,0.17718682,19.240927
9,0.15720557,17.135870
10,0.14274742,15.732870
1,0.92031127,106.784927
2,0.86300284,99.996468
3,0.80901611,93.602661
4,0.75863636,87.637650
5,0.71197462,82.115143
6,0.66907501,77.040054
7,0.62981755,72.397964
8,0.59407842,68.174500
9,0.56164503,64.343834
10,0.53226894,60.876869
1,1.14260733,132.916565
2,1.09248245,126.997353
3,1.04031801,120.839912
4,0.98677272,114.522148
5,0.93243897,108.113480
6,0.87778753,101.668800
7,0.82331687,95.245766
8,0.76948798,88.898033
9,0.71679980,82.684456
10,0.66570079,76.657745
1,1.12948418,131.366364
2,1.09647357,127.471512
3,1.06642783,123.927155
4,1.03900099,120.691833
5,1.01330817,117.658821
6,0.98906732,114.797478
7,0.96612561,112.089119
8,0.94440389,109.526009
9,0.92397022,107.116646
10,0.90486282,104.865677
1,0.85761136,99.263779
2,0.80659431,93.236031
3,0.75552708,87.203217
4,0.70489991,81.222893
5,0.65522289,75.355812
6,0.60697299,69.658333
7,0.56048810,64.170593
8,0.51598579,58.918297
9,0.47354946,53.911221
10,0.43296406,49.124573
1,1.19270730,138.517090
2,1.14786077,133.220734
3,1.10436416,128.097458
4,1.06271160,123.203896
5,1.02327907,118.581940
6,0.98625207,114.250374
7,0.95172191,110.217369
8,0.91969585,106.481003
9,0.89004260,103.023018
10,0.86260265,99.823395
1,0.71563858,82.620720
2,0.68574339,79.074898
3,0.65570194,75.512711
4,0.62506223,71.879822
5,0.59376782,68.168419
6,0.56184894,64.383141
7,0.52908540,60.496853
8,0.49537483,56.499565
9,0.46090847,52.414597
10,0.42575273,48.249512
1,0.23221749,26.037914
2,0.16767631,18.499830
3,0.12081940,13.354516
4,0.09272628,10.653545
5,0.07694985,9.379424
6,0.06953986,8.822695
7,0.06436723,8.295120
8,0.05936375,7.703984
9,0.05432634,7.083041
10,0.04939140,6.462120
1,0.41077796,46.560734
2,0.36730474,41.427803
3,0.32002839,35.843609
4,0.27021566,29.957600
5,0.22033931,24.099897
6,0.17828506,19.363054
7,0.14931454,16.395924
8,0.12746944,14.375788
9,0.11153321,13.036330
10,0.10148848,12.301163
1,0.82385856,95.305740
2,0.78035140,90.154655
3,0.73381364,84.647911
4,0.68385363,78.737823
5,0.63079834,72.464371
6,0.57540452,65.917244
7,0.51837951,59.180405
8,0.46040154,52.333347
9,0.40214744,45.455891
10,0.34421775,38.618935
1,0.66160852,76.047554
2,0.61951625,71.045250
3,0.57694763,65.985229
4,0.53419739,60.908672
5,0.49182099,55.883514
6,0.45020455,50.955921
7,0.40959486,46.155441
8,0.37020531,41.507477
9,0.33215234,37.024471
10,0.29540318,32.701263
1,1.07653582,125.153801
2,1.02510214,119.069603
3,0.97441524,113.075951
4,0.92526615,107.266014
5,0.87823445,101.707970
6,0.83362937,96.437645
7,0.79161185,91.474205
8,0.75226444,86.828835
9,0.71543777,82.483452
10,0.68085021,78.403198
1,0.26040813,28.855297
2,0.13674393,15.138247
3,0.09761506,11.924456
4,0.06388225,8.053877
5,0.01809805,2.471499
6,0.01374726,1.815601
7,0.01231841,1.601745
8,0.01155642,1.499795
9,0.01097941,1.421518
10,0.01049291,1.361491
1,0.45011353,51.236717
2,0.19027936,20.700510
3,0.12089644,13.723013
4,0.09615008,11.844741
5,0.07231478,9.084431
6,0.02849309,3.983472
7,0.01947942,2.656329
8,0.01641190,2.174320
9,0.01482705,1.909359
10,0.01389977,1.777562
1,0.71542710,82.758705
2,0.48728850,55.667652
3,0.33267507,37.389668
4,0.20525517,22.399061
5,0.13725500,15.206533
6,0.10290244,12.263339
7,0.06570018,8.101998
8,0.02089801,2.906133
9,0.01425163,1.898243
10,0.01204992,1.577038
1,0.76547557,88.500206
2,0.61756873,71.052597
3,0.47458932,54.144451
4,0.32374552,36.328735
5,0.18888123,20.542875
1,0.29837990,33.430626
2,0.14423130,15.841586
3,0.10445426,12.368470
4,0.07221054,8.833824
5,0.02435107,3.309245
